key,version,date_from,date_to,CodigoCNAEPrincipal,DescricaoCNAEPrincipal
249,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3329501,"SERVIÇOS DE MON"
250,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3329599,"INSTALAÇÃO DE O"
251,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3512300,"TRANSMISSÃO DE "
252,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3514000,"DISTRIBUIÇÃO DE"
253,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3520401,"PRODUÇÃO DE GÁS"
254,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3520402,"DISTRIBUIÇÃO DE"
255,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3600601,"CAPTAÇÃO, TRATA"
256,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3701100,"GESTÃO DE REDES"
257,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3702900,"ATIVIDADES RELA"
258,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3811400,"COLETA DE RESÍD"
259,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3812200,"COLETA DE RESÍD"
260,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3821100,"TRATAMENTO E DI"
261,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3822000,"TRATAMENTO E DI"
262,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3831999,"RECUPERAÇÃO DE "
263,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3832700,"RECUPERAÇÃO DE "
264,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",4110700,"INCORPORAÇÃO DE"
265,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",4120400,"CONSTRUÇÃO DE E"
266,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",4211101,"CONSTRUÇÃO DE R"
267,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",4211102,"PINTURA PARA SI"
268,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",4213800,"OBRAS DE URBANI"
269,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",4221902,"CONSTRUÇÃO DE E"
